Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
prerank,HALLMARK_ANDROGEN_RESPONSE,0.31520198646459685,1.0184074898023374,0.44285714285714284,0.41356789697596874,0.654,18/97,4.19%,AKAP12;SLC38A2;NDRG1;SGK1;INSIG1;ELL2;SMS;SCD;VAPA;MYL12A;SRF;ARID5B;LMAN1;DBI;PA2G4;DNAJB9;AZGP1;TNFAIP8
prerank,HALLMARK_APICAL_SURFACE,-0.4543450129995766,-1.0179003078437394,0.46153846153846156,0.6485248013134894,1.0,11/39,13.82%,THY1;FLOT2;APP;CX3CL1;ADIPOR2;MDGA1;GSTM3;EPHB4;ADAM10;CROCC;TMEM8B
prerank,HALLMARK_CHOLESTEROL_HOMEOSTASIS,-0.4091341967905356,-0.993172892941727,0.5027382256297919,0.7025362518842487,1.0,34/73,17.71%,CLU;FABP5;LPL;TM7SF2;FADS2;GUSB;FDPS;CD9;FASN;ECH1;DHCR7;ALDOC;TP53INP1;LGMN;SEMA3B;CTNNB1;MVD;FDFT1;PMVK;GLDC;CXCL16;ACSS2;SQLE;LSS;EBP;ABCA2;IDI1;GPX8;HMGCS1;JAG1;PCYT2;SC5D;ATXN2;ANTXR2
prerank,HALLMARK_PANCREAS_BETA_CELLS,-0.4450452912383022,-0.9735506006623714,0.5425400739827374,0.7327918891155341,1.0,6/30,16.30%,LMO2;SRP14;SRP9;SRPRB;PAX6;ELP4
prerank,HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,-0.36768290703168277,-0.9674331890417711,0.564729867482161,0.7231095982077914,1.0,54/199,8.45%,HTRA1;SPARC;COL1A2;NNMT;MGP;DCN;COL3A1;POSTN;THY1;COL1A1;DPYSL3;COL4A1;CD59;ITGAV;IGFBP4;FN1;RHOB;PDGFRB;FSTL1;PLOD1;LRP1;COL16A1;BGN;SERPINH1;COL5A2;ACTA2;COL4A2;COL5A3;PPIB;OXTR;GPC1;LUM;SPOCK1;QSOX1;PCOLCE;COLGALT1;FBLN1;LAMA2;CDH6;COL6A3;PFN2;TGFB1;NOTCH2;EFEMP2;MATN2;LOXL1;SGCB;BMP1;MMP2;PRRX1;ITGA2;TIMP3;FBN1;P3H1
prerank,HALLMARK_PI3K_AKT_MTOR_SIGNALING,-0.37322566468819607,-0.9351536332929559,0.6445396145610278,0.7844995708310714,1.0,52/102,27.44%,TNFRSF1A;CALR;ITPR2;PPP1CA;CLTC;CFL1;PFN1;TIAM1;STAT2;MAPK1;TSC2;AKT1S1;AP2M1;YWHAB;AKT1;PRKAG1;ACACA;PTEN;MYD88;ACTR2;MAPK10;PIN1;GRK2;PLCG1;PLA2G12A;EIF4E;ADCY2;RIPK1;CDK4;GNA14;MAP3K7;PIKFYVE;UBE2N;RPTOR;VAV3;MKNK1;HSP90B1;PIK3R3;GRB2;RALB;SLA;CDK1;CDK2;NOD1;IRAK4;ECSIT;CDKN1B;MAPKAP1;RPS6KA1;CAB39;PAK4;MAPK9
prerank,HALLMARK_IL6_JAK_STAT3_SIGNALING,-0.37030001284540104,-0.9148962501586712,0.6543478260869565,0.8062849533174858,1.0,28/83,20.97%,A2M;TNFRSF1A;CD14;IFNGR2;IL17RB;IL13RA1;STAT2;TGFB1;LTBR;CD9;TYK2;STAT1;MYD88;STAM2;IL10RB;IL6ST;IRF9;TNFRSF1B;IL17RA;TNFRSF21;ACVRL1;BAK1;SOCS3;ITGA4;CSF3R;ACVR1B;GRB2;IFNAR1
prerank,HALLMARK_GLYCOLYSIS,-0.3400287795544313,-0.8852314459987509,0.7932446264073695,0.8469742326772963,1.0,72/190,19.61%,DCN;SDC3;AGRN;B3GAT3;CHPF;PLOD1;CAPN5;PPIA;ALDH7A1;GPC1;PKM;NASP;CHST2;B3GAT1;QSOX1;HS2ST1;IL13RA1;PYGB;CHPF2;SOD1;SLC37A4;TALDO1;EXT2;GUSB;PGLS;AKR1A1;IDH1;B4GALT7;ALDH9A1;GOT2;STMN1;GALK1;G6PD;CHST12;SDHC;IDUA;SOX9;FUT8;TPBG;GMPPA;B3GALT6;B4GALT2;ALG1;B4GALT4;PC;XYLT2;COG2;TPST1;NDUFV3;PAM;MPI;MDH2;LHPP;ABCB6;PHKA2;TGFBI;ADORA2B;MED24;GMPPB;MERTK;PSMC4;UGP2;DLD;GALE;RBCK1;GLCE;POLR3K;STC1;SLC25A13;KDELR3;CHST1;AGL
prerank,HALLMARK_ALLOGRAFT_REJECTION,-0.327119459288842,-0.8562078187490482,0.8183694530443757,0.8768185868254287,1.0,31/184,9.63%,CD74;THY1;TAPBP;HLA-DRA;CCND3;STAB1;IFNGR2;HLA-DMB;HLA-DMA;F2R;EIF4G3;CCND2;TGFB1;CD47;IRF7;HLA-DOA;TAP1;PSMB10;APBB1;ITGB2;ST8SIA4;CSK;AKT1;HCLS1;DEGS1;BCAT1;STAT1;HLA-DQA1;GALNT1;NME1;IFNAR2
prerank,HALLMARK_HEDGEHOG_SIGNALING,0.3058300245274553,0.838134842907301,0.8209876543209876,0.8861676440151777,0.913,7/35,3.94%,VEGFA;NRP1;MYH9;NRP2;VLDLR;HEY1;SHH
prerank,HALLMARK_E2F_TARGETS,-0.3179302399921363,-0.8328107943554772,0.8639593908629442,0.8893680601261119,1.0,106/198,34.66%,NAA38;NASP;TP53;PRKDC;TUBB;CBX5;PCNA;JPT1;RPA2;STMN1;UBE2S;KPNA2;CDKN2C;CDC25B;RBBP7;MCM3;TUBG1;NME1;PTTG1;TMPO;MCM6;RPA1;PAICS;TBRG4;RRM2;WDR90;PAN2;KIF22;RPA3;POLD2;CSE1L;PDS5B;RAD50;CDK4;DUT;NCAPD2;SMC1A;DCTPP1;UNG;PRDX4;MSH2;CNOT9;NUP205;DNMT1;TACC3;NBN;MLH1;TOP2A;RFC2;MCM5;SHMT1;RANBP1;SMC6;UBR7;MCM4;PRPS1;SMC4;UBE2T;POLE4;EED;CDK1;LBR;POLE;CTCF;BIRC5;ATAD2;CTPS1;SUV39H1;CDKN1B;PMS2;HMGB3;TIMELESS;NUP107;LUC7L3;MXD3;PHF5A;PSIP1;POLA2;POLD1;DONSON;CIT;MRE11;SPAG5;CDC20;TCF19;CCNB2;TK1;ASF1A;KIF4A;EZH2;DCK;LMNB1;BRMS1L;MKI67;RAD51C;RFC1;RAN;ASF1B;EXOSC8;RFC3;MAD2L1;HELLS;CCP110;PPP1R8;CDCA3;AURKA
prerank,HALLMARK_WNT_BETA_CATENIN_SIGNALING,-0.34491747852590676,-0.7748185730286421,0.8370457209847597,0.9378620926146456,1.0,15/41,16.06%,NCOR2;NOTCH1;TP53;CCND2;NOTCH4;CTNNB1;LEF1;KAT2A;ADAM17;HDAC5;CSNK1E;PTCH1;PPARD;CUL1;JAG1
prerank,HALLMARK_G2M_CHECKPOINT,-0.2794665875590933,-0.7270802640898082,0.9746963562753036,0.9551601876817902,1.0,86/195,32.45%,SFPQ;NASP;TFDP1;MEIS1;RBM14;TGFB1;NOTCH2;JPT1;RPA2;STMN1;UBE2S;KPNA2;CDKN2C;CDC25B;SMAD3;SS18;UPF1;MCM3;EWSR1;PTTG1;DR1;LIG3;TMPO;PML;SQLE;MCM6;CHMP1A;DMD;KIF22;G3BP1;MAPK14;PDS5B;CDK4;SMC1A;CUL5;CUL1;TNPO2;CCND1;NSD2;CBX1;NUMA1;TACC3;HSPA8;BCL3;TOP2A;UBE2C;KMT5A;MCM5;TPX2;MTF2;E2F4;SMC4;PAFAH1B1;CDK1;LBR;POLE;CTCF;BIRC5;NUP50;SLC12A2;SUV39H1;CDKN1B;DTYMK;HMGB3;ORC5;HIRA;POLA2;RBL1;NUSAP1;CDC20;CCNB2;ODF2;NUP98;KIF4A;CCNA2;EZH2;ODC1;PRC1;MEIS2;PRMT5;LMNB1;TLE3;E2F1;SLC7A1;EGF;MKI67
